Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.10    0.00  697971/697971      p_Lcm(spolyrec*, spolyrec*, spolyrec*, ip_sring*) [31]
                0.05    0.00   65634/65634       ksCreateShortSpoly(spolyrec*, spolyrec*, ip_sring*) [41]
                0.02    0.00  697971/1574676     p_Setm_TotalDegree(spolyrec*, ip_sring*) [42]
                0.02    0.00   65634/72715       posInL110(sLObject*, int, sLObject*, skStrategy*) [46]
                0.01    0.00  697971/697971      p_HasNotCF(spolyrec*, spolyrec*, ip_sring*) [56]
                0.00    0.01   65634/65634       initEcartPairBba(sLObject*, spolyrec*, spolyrec*, int, int) [69]
                0.00    0.00   51862/58616       deleteInL(sLObject*, int*, int, skStrategy*) [84]
                0.00    0.00  697971/712016      p_Init(ip_sring*, omBin_s*) [88]
                0.00    0.00     238/6876988     omFreeToPageFault [28]
                0.00    0.00   65634/72716       enterL(sLObject**, int*, int*, sLObject, int) [128]
                0.00    0.00  632337/690953      posInL17_c(sLObject*, int, sLObject*, skStrategy*) [619]
-----------------------------------------------
                0.00    0.00       1/6867709     idrecDataInit(int) [119]
                0.00    0.00       1/6867709     iiCheckNest() [126]
                0.00    0.00       1/6867709     iiGetLibProcBuffer(procinfo*, int) [124]
                0.00    0.00       1/6867709     yylplex(char const*, char const*, lib_style_types*, idrec*, int, lp_modes) [110]
                0.00    0.00       1/6867709     siInit(char*) [1]
                0.00    0.00       1/6867709     myynewbuffer() [122]
                0.00    0.00       1/6867709     _omRealloc0Size [108]
                0.00    0.00       1/6867709     initBuchMora(sip_sideal*, sip_sideal*, skStrategy*) [81]
                0.00    0.00       1/6867709     ray::ray(unsigned long, long) [107]
                0.00    0.00       1/6867709     std::_Rb_tree<constraint, constraint, std::_Identity<constraint>, std::less<constraint>, std::allocator<constraint> >::_M_insert_unique(constraint const&) [105]
                0.00    0.00       1/6867709     slStandardInit() [123]
                0.00    0.00       1/6867709     idInit(int, int) [120]
                0.00    0.00       1/6867709     nInitChar(n_coeffType, void*) [121]
                0.00    0.00       1/6867709     Print [115]
                0.00    0.00       2/6867709     iiArithFindCmd(char const*) [111]
                0.00    0.00       2/6867709     rInit(sleftv*, sleftv*, sleftv*) [72]
                0.00    0.00       2/6867709     std::_Rb_tree<edge, edge, std::_Identity<edge>, std::less<edge>, std::allocator<edge> >::_M_insert_unique(edge const&) [96]
                0.00    0.00       2/6867709     dynl_open_binary_warn(char const*, char const*) [103]
                0.00    0.00       2/6867709     _omGetSpecBin [112]
                0.00    0.00       3/6867709     _omReallocSize [106]
                0.00    0.00      10/6867709     ray::ray(ray const&) [92]
                0.00    0.00      19/6867709     p_LmInit(spolyrec*, ip_sring*, ip_sring*, omBin_s*) [86]
                0.00    0.00      52/6867709     std::_Rb_tree<constraint, constraint, std::_Identity<constraint>, std::less<constraint>, std::allocator<constraint> >::_M_copy(std::_Rb_tree_node<constraint> const*, std::_Rb_tree_node<constraint>*) [93]
                0.00    0.00      76/6867709     constraint::constraint(constraint const&) [95]
                0.00    0.00     638/6867709     p_Init(ip_sring*, omBin_s*) [88]
                0.00    0.00    5696/6867709     ksCreateShortSpoly(spolyrec*, spolyrec*, ip_sring*) [41]
                0.00    0.00    8208/6867709     kBucketCreate(ip_sring*) [79]
                0.00    0.00   10282/6867709     pShallowCopyDelete_General(spolyrec*, ip_sring*, ip_sring*, omBin_s*) [37]
                0.10    0.03 3270058/6867709     pp_Mult_mm__FieldZp_LengthOne_OrdGeneral [18]
                0.11    0.04 3572643/6867709     p_Minus_mm_Mult_qq__FieldZp_LengthOne_OrdNomog [16]
[27]     0.3    0.22    0.07 6867709         omAllocBinFromFullPage [27]
                0.07    0.00   35172/35172       omAllocBinPage [34]
-----------------------------------------------
                0.00    0.00       1/6876988     exitBuchMora(skStrategy*) [38]
                0.00    0.00       1/6876988     kStratChangeTailRing(skStrategy*, sLObject*, sTObject*, unsigned long) [71]
                0.00    0.00       1/6876988     skStrategy::~skStrategy() [127]
                0.00    0.00       1/6876988     skeleton::~skeleton() [75]
                0.00    0.00       1/6876988     pEnlargeSet(spolyrec***, int, int) [118]
                0.00    0.00       1/6876988     Print [115]
                0.00    0.00       2/6876988     _omRealloc0Size [108]
                0.00    0.00       2/6876988     dynl_open_binary_warn(char const*, char const*) [103]
                0.00    0.00       3/6876988     std::_Rb_tree<edge, edge, std::_Identity<edge>, std::less<edge>, std::allocator<edge> >::_M_erase(std::_Rb_tree_node<edge>*) [76]
                0.00    0.00       3/6876988     omDoRealloc [109]
                0.00    0.00      32/6876988     cleanT(skStrategy*) [39]
                0.00    0.00      43/6876988     redHomog(sLObject*, skStrategy*) [13]
                0.00    0.00      85/6876988     std::_Rb_tree<constraint, constraint, std::_Identity<constraint>, std::less<constraint>, std::allocator<constraint> >::_M_erase(std::_Rb_tree_node<constraint>*) [50]
                0.00    0.00      86/6876988     ray::~ray() [49]
                0.00    0.00     238/6876988     enterOnePairNormal(int, spolyrec*, int, int, skStrategy*, int) [26]
                0.00    0.00     351/6876988     bba(sip_sideal*, sip_sideal*, intvec*, intvec*, skStrategy*, int) [12]
                0.00    0.00    1333/6876988     ksCreateShortSpoly(spolyrec*, spolyrec*, ip_sring*) [41]
                0.00    0.00    3833/6876988     ksCreateSpoly(sLObject*, spolyrec*, int, ip_sring*, spolyrec*, spolyrec*, sTObject**) [32]
                0.00    0.00    4391/6876988     deleteInL(sLObject*, int*, int, skStrategy*) [84]
                0.00    0.00    8208/6876988     kBucketDestroy(kBucket**) [80]
                0.00    0.00    8800/6876988     pShallowCopyDelete_General(spolyrec*, ip_sring*, ip_sring*, omBin_s*) [37]
                0.02    0.00  435323/6876988     p_kBucketSetLm__FieldZp_LengthOne_OrdNomog [22]
                0.02    0.00  455403/6876988     ksReducePoly(sLObject*, sTObject*, spolyrec*, snumber**, skStrategy*) [14]
                0.10    0.00 2550062/6876988     p_Minus_mm_Mult_qq__FieldZp_LengthOne_OrdNomog [16]
                0.14    0.00 3408784/6876988     p_Add_q__FieldZp_LengthOne_OrdNomog [17]
[28]     0.3    0.28    0.00 6876988         omFreeToPageFault [28]
                0.00    0.00   24875/24875       omFreeBinPages [134]
-----------------------------------------------
                0.00    0.16    2696/2696        redtailBba(sLObject*, int, skStrategy*, int, int) [19]
[29]     0.2    0.00    0.16    2696         kBucketCanonicalize(kBucket*) [29]
                0.16    0.00   15799/1230659     p_Add_q__FieldZp_LengthOne_OrdNomog [17]
-----------------------------------------------
                0.01    0.11  739066/739066      redtailBba(sLObject*, int, skStrategy*, int, int) [19]
[30]     0.1    0.01    0.11  739066         sLObject::LmExtractAndIter() [30]
                0.10    0.00  738276/7204018     p_kBucketSetLm__FieldZp_LengthOne_OrdNomog [22]
                0.00    0.00    1182/8208        kBucketDestroy(kBucket**) [80]
-----------------------------------------------
                0.10    0.00  697971/697971      enterOnePairNormal(int, spolyrec*, int, int, skStrategy*, int) [26]
[31]     0.1    0.10    0.00  697971         p_Lcm(spolyrec*, spolyrec*, spolyrec*, ip_sring*) [31]
-----------------------------------------------
                0.00    0.10    7018/7018        bba(sip_sideal*, sip_sideal*, intvec*, intvec*, skStrategy*, int) [12]
[32]     0.1    0.00    0.10    7018         ksCreateSpoly(sLObject*, spolyrec*, int, ip_sring*, spolyrec*, spolyrec*, sTObject**) [32]
                0.00    0.08    7018/6465742     kBucket_Minus_m_Mult_p(kBucket*, spolyrec*, spolyrec*, int*, spolyrec*) [15]
                0.01    0.00    7018/2991154     pp_Mult_mm__FieldZp_LengthOne_OrdGeneral [18]
                0.00    0.00    7018/7204018     p_kBucketSetLm__FieldZp_LengthOne_OrdNomog [22]
                0.00    0.00    7018/8208        kBucketCreate(ip_sring*) [79]
                0.00    0.00    3833/6876988     omFreeToPageFault [28]
                0.00    0.00   14036/7778612     ndDelete(snumber**, n_Procs_s*) [55]
                0.00    0.00    7018/7018        ksCheckCoeff(snumber**, snumber**, n_Procs_s*) [91]
                0.00    0.00    7018/8208        kBucketInit(kBucket*, spolyrec*, int) [628]
-----------------------------------------------
                0.02    0.06    1182/1182        enterpairs(spolyrec*, int, int, int, skStrategy*, int) [24]
[33]     0.1    0.02    0.06    1182         chainCritNormal(spolyrec*, int, skStrategy*) [33]
                0.06    0.00 1121567/1121567     pCompareChain(spolyrec*, spolyrec*, spolyrec*, spolyrec*, ip_sring*) [40]
                0.00    0.00    1182/1182        kMergeBintoL(skStrategy*) [77]
                0.00    0.00    6754/58616       deleteInL(sLObject*, int*, int, skStrategy*) [84]
-----------------------------------------------
                0.07    0.00   35172/35172       omAllocBinFromFullPage [27]
[34]     0.1    0.07    0.00   35172         omAllocBinPage [34]
                0.00    0.00      52/52          omAllocNewBinPagesRegion [139]
-----------------------------------------------
                0.00    0.07    1182/1182        bba(sip_sideal*, sip_sideal*, intvec*, intvec*, skStrategy*, int) [12]
[35]     0.1    0.00    0.07    1182         sLObject::GetP(omBin_s*) [35]
                0.00    0.06    1182/1182        kBucketClear(kBucket*, spolyrec**, int*) [36]
                0.00    0.00    1181/68071       p_Deg(spolyrec*, ip_sring*) [57]
                0.00    0.00    1182/8208        kBucketDestroy(kBucket**) [80]
                0.00    0.00    1181/1574676     p_Setm_TotalDegree(spolyrec*, ip_sring*) [42]
-----------------------------------------------
                0.00    0.06    1182/1182        sLObject::GetP(omBin_s*) [35]
[36]     0.1    0.00    0.06    1182         kBucketClear(kBucket*, spolyrec**, int*) [36]
                0.06    0.00    6441/1230659     p_Add_q__FieldZp_LengthOne_OrdNomog [17]
-----------------------------------------------
                0.00    0.00       8/1190        kStratChangeTailRing(skStrategy*, sLObject*, sTObject*, unsigned long) [71]
                0.04    0.02    1182/1190        cleanT(skStrategy*) [39]
[37]     0.1    0.04    0.02    1190         pShallowCopyDelete_General(spolyrec*, ip_sring*, ip_sring*, omBin_s*) [37]
                0.02    0.00  739066/1574676     p_Setm_TotalDegree(spolyrec*, ip_sring*) [42]
                0.00    0.00   10282/6867709     omAllocBinFromFullPage [27]
                0.00    0.00    8800/6876988     omFreeToPageFault [28]
                0.00    0.00      50/14094       p_Setm_Dummy(spolyrec*, ip_sring*) [626]
-----------------------------------------------
                0.00    0.06       1/1           bba(sip_sideal*, sip_sideal*, intvec*, intvec*, skStrategy*, int) [12]
[38]     0.1    0.00    0.06       1         exitBuchMora(skStrategy*) [38]
                0.00    0.06       1/1           cleanT(skStrategy*) [39]
                0.00    0.00       1/6876988     omFreeToPageFault [28]
                0.00    0.00       1/7778612     ndDelete(snumber**, n_Procs_s*) [55]
                0.00    0.00       8/12          omFreeLarge [146]
-----------------------------------------------
                0.00    0.06       1/1           exitBuchMora(skStrategy*) [38]
[39]     0.1    0.00    0.06       1         cleanT(skStrategy*) [39]
                0.04    0.02    1182/1190        pShallowCopyDelete_General(spolyrec*, ip_sring*, ip_sring*, omBin_s*) [37]
                0.00    0.00      32/6876988     omFreeToPageFault [28]
                0.00    0.00       1/3           pGetShallowCopyDeleteProc(ip_sring*, ip_sring*) [691]
-----------------------------------------------
                0.06    0.00 1121567/1121567     chainCritNormal(spolyrec*, int, skStrategy*) [33]
[40]     0.1    0.06    0.00 1121567         pCompareChain(spolyrec*, spolyrec*, spolyrec*, spolyrec*, ip_sring*) [40]
-----------------------------------------------
                0.05    0.00   65634/65634       enterOnePairNormal(int, spolyrec*, int, int, skStrategy*, int) [26]
[41]     0.1    0.05    0.00   65634         ksCreateShortSpoly(spolyrec*, spolyrec*, ip_sring*) [41]
                0.00    0.00  133702/1574676     p_Setm_TotalDegree(spolyrec*, ip_sring*) [42]
                0.00    0.00    5696/6867709     omAllocBinFromFullPage [27]
                0.00    0.00    1333/6876988     omFreeToPageFault [28]
                0.00    0.00   29194/7778612     ndDelete(snumber**, n_Procs_s*) [55]
                0.00    0.00   65634/65634       nNew(snumber**) [623]
                0.00    0.00   29194/29194       npMult(snumber*, snumber*, n_Procs_s*) [624]
                0.00    0.00   14597/14597       npEqual(snumber*, snumber*, n_Procs_s*) [625]
-----------------------------------------------
                0.00    0.00       8/1574676     syMake(sleftv*, char const*, idrec*) [66]
                0.00    0.00      52/1574676     p_Read(char const*, spolyrec*&, ip_sring*) [67]
                0.00    0.00    1181/1574676     sLObject::GetP(omBin_s*) [35]
                0.00    0.00    2696/1574676     p_LmInit(spolyrec*, ip_sring*, ip_sring*, omBin_s*) [86]
                0.00    0.00  133702/1574676     ksCreateShortSpoly(spolyrec*, spolyrec*, ip_sring*) [41]
                0.02    0.00  697971/1574676     enterOnePairNormal(int, spolyrec*, int, int, skStrategy*, int) [26]
                0.02    0.00  739066/1574676     pShallowCopyDelete_General(spolyrec*, ip_sring*, ip_sring*, omBin_s*) [37]
[42]     0.1    0.05    0.00 1574676         p_Setm_TotalDegree(spolyrec*, ip_sring*) [42]
-----------------------------------------------
                                                 <spontaneous>
[43]     0.0    0.03    0.00                 p_kBucketSetLm__FieldZp_LengthOne_OrdPomog [43]
-----------------------------------------------
                                                 <spontaneous>
[44]     0.0    0.03    0.00                 kBucket_Add_q(kBucket*, spolyrec*, int*) [44]
-----------------------------------------------
                0.02    0.00    7018/7018        bba(sip_sideal*, sip_sideal*, intvec*, intvec*, skStrategy*, int) [12]
[45]     0.0    0.02    0.00    7018         kCheckSpolyCreation(sLObject*, skStrategy*, spolyrec*&, spolyrec*&) [45]
                0.00    0.00   14036/712016      p_Init(ip_sring*, omBin_s*) [88]
                0.00    0.00   14036/14094       p_Setm_Dummy(spolyrec*, ip_sring*) [626]
-----------------------------------------------
                0.00    0.00       7/72715       initSL(sip_sideal*, sip_sideal*, skStrategy*) [82]
                0.00    0.00    7074/72715       kMergeBintoL(skStrategy*) [77]
                0.02    0.00   65634/72715       enterOnePairNormal(int, spolyrec*, int, int, skStrategy*, int) [26]
[46]     0.0    0.02    0.00   72715         posInL110(sLObject*, int, sLObject*, skStrategy*) [46]
                0.00    0.00   79370/82896       p_Mult_nn(spolyrec*, snumber*, ip_sring*) [622]
-----------------------------------------------
                                                 <spontaneous>
[47]     0.0    0.02    0.00                 complexToStr(gmp_complex&, unsigned int, n_Procs_s*) [47]
-----------------------------------------------
                0.00    0.00       8/1189        initSL(sip_sideal*, sip_sideal*, skStrategy*) [82]
                0.01    0.00    1181/1189        bba(sip_sideal*, sip_sideal*, intvec*, intvec*, skStrategy*, int) [12]
[48]     0.0    0.01    0.00    1189         p_Norm(spolyrec*, ip_sring*) [48]
                0.00    0.00  956723/7778612     ndDelete(snumber**, n_Procs_s*) [55]
                0.00    0.00  955610/955610      npDiv(snumber*, snumber*, n_Procs_s*) [617]
                0.00    0.00   61014/372756      ndNormalize(snumber*&, n_Procs_s*) [620]
                0.00    0.00    1189/6792709     npIsOne(snumber*, n_Procs_s*) [615]
                0.00    0.00    1113/319882      npInit(long, n_Procs_s*) [621]
-----------------------------------------------
                0.00    0.00       9/234         std::_Rb_tree<ray, ray, std::_Identity<ray>, std::less<ray>, std::allocator<ray> >::_M_erase(std::_Rb_tree_node<ray>*) [78]
                0.00    0.00      72/234         std::_Rb_tree<edge, edge, std::_Identity<edge>, std::less<edge>, std::allocator<edge> >::_M_erase(std::_Rb_tree_node<edge>*) [76]
                0.00    0.01     153/234         skeleton::common_initialization(unsigned long) [70]
[49]     0.0    0.00    0.01     234         ray::~ray() [49]
                0.01    0.00     988/988         std::_Rb_tree<constraint, constraint, std::_Identity<constraint>, std::less<constraint>, std::allocator<constraint> >::_M_erase(std::_Rb_tree_node<constraint>*) [50]
                0.00    0.00      86/6876988     omFreeToPageFault [28]
                0.00    0.00    1222/3391        operator delete[](void*) [630]
                0.00    0.00     988/3098        operator delete(void*) [633]
                0.00    0.00     988/3147        constraint::~constraint() [632]
-----------------------------------------------
                0.01    0.00     988/988         ray::~ray() [49]
[50]     0.0    0.01    0.00     988         std::_Rb_tree<constraint, constraint, std::_Identity<constraint>, std::less<constraint>, std::allocator<constraint> >::_M_erase(std::_Rb_tree_node<constraint>*) [50]
                0.00    0.00      85/6876988     omFreeToPageFault [28]
                0.00    0.00    2054/3098        operator delete(void*) [633]
                0.00    0.00    2054/3391        operator delete[](void*) [630]
                0.00    0.00    2054/3147        constraint::~constraint() [632]
-----------------------------------------------
                                   1             rOrd_is_WeightedDegree_Ordering(ip_sring*) [51]
                0.00    0.01       1/2           rComplete(ip_sring*, int) [74]
                0.00    0.01       1/2           rModifyRing(ip_sring*, int, int, unsigned long) [73]
[51]     0.0    0.00    0.01       2+1       rOrd_is_WeightedDegree_Ordering(ip_sring*) [51]
                0.01    0.00       2/2           p_GetSetmProc(ip_sring*) [60]
                0.00    0.00       2/2           p_ProcsSet(ip_sring*, p_Procs_s*) [102]
                0.00    0.00       2/2           _omGetSpecBin [112]
                0.00    0.00       2/15          omSizeOfAddr [144]
                0.00    0.00       2/3           rGetExpSize(unsigned long, int&, int) [693]
                0.00    0.00       2/12          omFreeLarge [146]
                0.00    0.00       2/2           rOrd_is_Totaldegree_Ordering(ip_sring*) [700]
                0.00    0.00       2/4           omAlloc0Large [147]
                0.00    0.00       1/4           rHasSimpleOrder(ip_sring*) [685]
                0.00    0.00       1/1           rO_LexVars_neg(int&, int&, int, int, int&, long*, int*, int, int) [783]
                0.00    0.00       1/1           rCheckOrdSgn(ip_sring*, int) [782]
                0.00    0.00       1/1           _omAlloc [798]
                                   1             rOrd_is_WeightedDegree_Ordering(ip_sring*) [51]
-----------------------------------------------
                0.00    0.01    1182/1182        bba(sip_sideal*, sip_sideal*, intvec*, intvec*, skStrategy*, int) [12]
[52]     0.0    0.00    0.01    1182         enterT(sLObject, skStrategy*, int) [52]
                0.01    0.00    1182/1182        posInT110(sTObject*, int, sLObject&) [58]
                0.00    0.00      70/140         _omRealloc0Size [108]
                0.00    0.00     103/328         omDoRealloc [109]
                0.00    0.00      35/166         _omReallocSize [106]
                0.00    0.00    1182/1182        p_GetMaxExpP(spolyrec*, ip_sring*) [636]
                0.00    0.00      68/130         omRealloc0Large [137]
                0.00    0.00      33/322         omReallocLarge [136]
-----------------------------------------------
                                                 <spontaneous>
[53]     0.0    0.01    0.00                 pp_Mult_mm_Noether__FieldZp_LengthOne_OrdNomog [53]
-----------------------------------------------
                                                 <spontaneous>
[54]     0.0    0.01    0.00                 pp_Mult_mm_Noether__FieldZp_LengthTwo_OrdNomogZero [54]
-----------------------------------------------
                0.00    0.00       1/7778612     exitBuchMora(skStrategy*) [38]
                0.00    0.00    1174/7778612     bba(sip_sideal*, sip_sideal*, intvec*, intvec*, skStrategy*, int) [12]
                0.00    0.00    7018/7778612     ksCheckCoeff(snumber**, snumber**, n_Procs_s*) [91]
                0.00    0.00   14036/7778612     ksCreateSpoly(sLObject*, spolyrec*, int, ip_sring*, spolyrec*, spolyrec*, sTObject**) [32]
                0.00    0.00   29194/7778612     ksCreateShortSpoly(spolyrec*, spolyrec*, ip_sring*) [41]
                0.00    0.00  311742/7778612     redtailBba(sLObject*, int, skStrategy*, int, int) [19]
                0.00    0.00  956723/7778612     p_Norm(spolyrec*, ip_sring*) [48]
                0.01    0.00 6458724/7778612     ksReducePoly(sLObject*, sTObject*, spolyrec*, snumber**, skStrategy*) [14]
[55]     0.0    0.01    0.00 7778612         ndDelete(snumber**, n_Procs_s*) [55]
-----------------------------------------------
                0.01    0.00  697971/697971      enterOnePairNormal(int, spolyrec*, int, int, skStrategy*, int) [26]
[56]     0.0    0.01    0.00  697971         p_HasNotCF(spolyrec*, spolyrec*, ip_sring*) [56]
-----------------------------------------------
                0.00    0.00      66/68071       p_IsHomogeneous(spolyrec*, ip_sring*) [89]
                0.00    0.00    1181/68071       sLObject::GetP(omBin_s*) [35]
                0.00    0.00    1190/68071       initEcartBBA(sLObject*) [85]
                0.01    0.00   65634/68071       initEcartPairBba(sLObject*, spolyrec*, spolyrec*, int, int) [69]
[57]     0.0    0.01    0.00   68071         p_Deg(spolyrec*, ip_sring*) [57]
-----------------------------------------------
                0.01    0.00    1182/1182        enterT(sLObject, skStrategy*, int) [52]
[58]     0.0    0.01    0.00    1182         posInT110(sTObject*, int, sLObject&) [58]
                0.00    0.00    1280/82896       p_Mult_nn(spolyrec*, snumber*, ip_sring*) [622]
-----------------------------------------------
                0.00    0.00       1/53          ndIsUnit(snumber*, n_Procs_s*) [83]
                0.01    0.00      52/53          p_Read(char const*, spolyrec*&, ip_sring*) [67]
[59]     0.0    0.01    0.00      53         npIsZero(snumber*, n_Procs_s*) [59]
-----------------------------------------------
                0.01    0.00       2/2           rOrd_is_WeightedDegree_Ordering(ip_sring*) [51]
[60]     0.0    0.01    0.00       2         p_GetSetmProc(ip_sring*) [60]
-----------------------------------------------
                                                 <spontaneous>
[61]     0.0    0.01    0.00                 ComputeBasis(jList*, jList*) [61]
-----------------------------------------------
                                                 <spontaneous>
[62]     0.0    0.01    0.00                 enterOnePairRing(int, spolyrec*, int, int, skStrategy*, int) [62]
-----------------------------------------------
                                                 <spontaneous>
[63]     0.0    0.01    0.00                 p_Setm_WFirstTotalDegree(spolyrec*, ip_sring*) [63]
-----------------------------------------------
                                                 <spontaneous>
[64]     0.0    0.01    0.00                 npIsMOne(snumber*, n_Procs_s*) [64]
-----------------------------------------------
                                                 <spontaneous>
[65]     0.0    0.01    0.00                 ndParDeg(snumber*, n_Procs_s*) [65]
-----------------------------------------------
                0.00    0.01      71/71          yyparse() [7]
[66]     0.0    0.00    0.01      71         syMake(sleftv*, char const*, idrec*) [66]
                0.00    0.01      52/52          p_mInit(char const*, int&, ip_sring*) [68]
                0.00    0.00       8/1574676     p_Setm_TotalDegree(spolyrec*, ip_sring*) [42]
                0.00    0.00      71/71          ggetid(char const*) [652]
                0.00    0.00      60/339         r_IsRingVar(char const*, char**, int) [642]
                0.00    0.00       8/8           p_One(ip_sring*) [676]
-----------------------------------------------
                0.00    0.01      52/52          p_mInit(char const*, int&, ip_sring*) [68]
[67]     0.0    0.00    0.01      52         p_Read(char const*, spolyrec*&, ip_sring*) [67]
                0.01    0.00      52/53          npIsZero(snumber*, n_Procs_s*) [59]
                0.00    0.00      52/1574676     p_Setm_TotalDegree(spolyrec*, ip_sring*) [42]
                0.00    0.00     279/339         r_IsRingVar(char const*, char**, int) [642]
                0.00    0.00     225/225         eati(char const*, int*) [644]
                0.00    0.00      52/52          npRead(char const*, snumber**, n_Procs_s*) [654]
-----------------------------------------------
                0.00    0.01      52/52          syMake(sleftv*, char const*, idrec*) [66]
[68]     0.0    0.00    0.01      52         p_mInit(char const*, int&, ip_sring*) [68]
                0.00    0.01      52/52          p_Read(char const*, spolyrec*&, ip_sring*) [67]
                0.00    0.00       2/2           p_Delete__FieldZp_LengthGeneral_OrdGeneral [154]
-----------------------------------------------
                0.00    0.01   65634/65634       enterOnePairNormal(int, spolyrec*, int, int, skStrategy*, int) [26]
[69]     0.0    0.00    0.01   65634         initEcartPairBba(sLObject*, spolyrec*, spolyrec*, int, int) [69]
                0.01    0.00   65634/68071       p_Deg(spolyrec*, ip_sring*) [57]
-----------------------------------------------
                0.00    0.01       1/1           bba(sip_sideal*, sip_sideal*, intvec*, intvec*, skStrategy*, int) [12]
[70]     0.0    0.00    0.01       1         skeleton::common_initialization(unsigned long) [70]
                0.00    0.01     153/234         ray::~ray() [49]
                0.00    0.00      72/72          edge::edge(ray const&, ray const&) [94]
                0.00    0.00      72/72          std::_Rb_tree<edge, edge, std::_Identity<edge>, std::less<edge>, std::allocator<edge> >::_M_insert_unique(edge const&) [96]
                0.00    0.00       9/9           std::_Rb_tree<ray, ray, std::_Identity<ray>, std::less<ray>, std::allocator<ray> >::_M_insert_unique(ray const&) [99]
                0.00    0.00       9/9           ray::ray(unsigned long, long) [107]
                0.00    0.00      72/144         ray::add_active_constraint(constraint const&, bool) [104]
                0.00    0.00       5/5           std::vector<constraint, std::allocator<constraint> >::_M_insert_aux(__gnu_cxx::__normal_iterator<constraint*, std::vector<constraint, std::allocator<constraint> > >, constraint const&) [129]
                0.00    0.00       4/3066        constraint::constraint(constraint const&) [95]
                0.00    0.00      81/81          operator!=(ray const&, ray const&) [651]
                0.00    0.00      36/36          ray::swap(ray&) [662]
                0.00    0.00      10/3391        operator delete[](void*) [630]
                0.00    0.00       9/81          constraint::constraint(unsigned long, long*) [650]
                0.00    0.00       9/3147        constraint::~constraint() [632]
                0.00    0.00       1/3391        operator new[](unsigned long) [631]
-----------------------------------------------
                0.00    0.01       1/1           bba(sip_sideal*, sip_sideal*, intvec*, intvec*, skStrategy*, int) [12]
[71]     0.0    0.00    0.01       1         kStratChangeTailRing(skStrategy*, sLObject*, sTObject*, unsigned long) [71]
                0.00    0.01       1/1           rModifyRing(ip_sring*, int, int, unsigned long) [73]
                0.00    0.00       8/1190        pShallowCopyDelete_General(spolyrec*, ip_sring*, ip_sring*, omBin_s*) [37]
                0.00    0.00       1/6876988     omFreeToPageFault [28]
                0.00    0.00       8/712016      p_Init(ip_sring*, omBin_s*) [88]
                0.00    0.00       8/14094       p_Setm_Dummy(spolyrec*, ip_sring*) [626]
                0.00    0.00       2/3           pGetShallowCopyDeleteProc(ip_sring*, ip_sring*) [691]
                0.00    0.00       1/2           omGetStickyBinOfBin [150]
                0.00    0.00       1/2           omMergeStickyBinIntoBin [152]
-----------------------------------------------
                0.00    0.01       1/1           yyparse() [7]
[72]     0.0    0.00    0.01       1         rInit(sleftv*, sleftv*, sleftv*) [72]
                0.00    0.01       1/1           rComplete(ip_sring*, int) [74]
                0.00    0.00       2/6867709     omAllocBinFromFullPage [27]
                0.00    0.00       1/2           nInitChar(n_coeffType, void*) [121]
                0.00    0.00       2/133         sleftv::Typ() [646]
                0.00    0.00       2/8           sleftv::listLength() [678]
                0.00    0.00       2/122         sleftv::CleanUp(ip_sring*) [647]
                0.00    0.00       1/1           rSleftvList2StringArray(sleftv*, char**) [765]
                0.00    0.00       1/1           rRenameVars(ip_sring*) [781]
                0.00    0.00       1/1           rSleftvOrdering2Ordering(sleftv*, ip_sring*) [767]
                0.00    0.00       1/6           sleftv::Data() [682]
                0.00    0.00       1/1           iiIsPrime0(unsigned int) [731]
                0.00    0.00       1/1           IsPrime(int) [771]
-----------------------------------------------
                0.00    0.01       1/1           kStratChangeTailRing(skStrategy*, sLObject*, sTObject*, unsigned long) [71]
[73]     0.0    0.00    0.01       1         rModifyRing(ip_sring*, int, int, unsigned long) [73]
                0.00    0.01       1/2           rOrd_is_WeightedDegree_Ordering(ip_sring*) [51]
                0.00    0.00       1/3           rGetExpSize(unsigned long, int&, int) [693]
                0.00    0.00       1/4           rHasSimpleOrder(ip_sring*) [685]
-----------------------------------------------
                0.00    0.01       1/1           rInit(sleftv*, sleftv*, sleftv*) [72]
[74]     0.0    0.00    0.01       1         rComplete(ip_sring*, int) [74]
                0.00    0.01       1/2           rOrd_is_WeightedDegree_Ordering(ip_sring*) [51]
-----------------------------------------------
                0.00    0.00       1/1           bba(sip_sideal*, sip_sideal*, intvec*, intvec*, skStrategy*, int) [12]
[75]     0.0    0.00    0.00       1         skeleton::~skeleton() [75]
                0.00    0.00       1/1           std::_Rb_tree<edge, edge, std::_Identity<edge>, std::less<edge>, std::allocator<edge> >::_M_erase(std::_Rb_tree_node<edge>*) [76]
                0.00    0.00       1/6876988     omFreeToPageFault [28]
                0.00    0.00       9/3391        operator delete[](void*) [630]
                0.00    0.00       9/3147        constraint::~constraint() [632]
                0.00    0.00       1/3098        operator delete(void*) [633]
-----------------------------------------------
                0.00    0.00       1/1           skeleton::~skeleton() [75]
[76]     0.0    0.00    0.00       1         std::_Rb_tree<edge, edge, std::_Identity<edge>, std::less<edge>, std::allocator<edge> >::_M_erase(std::_Rb_tree_node<edge>*) [76]
                0.00    0.00      72/234         ray::~ray() [49]
                0.00    0.00       3/6876988     omFreeToPageFault [28]
